testCase_id,testcase_name,duration_sec,status,start_time,end_time,upload_time,time_since_last_run
10,PaintProSystem_ResetPosition {Autobot1},1.48,Passed,2025-06-10 15:43:48.783,2025-06-10 15:43:50.263,2025-06-10 15:44:31.759699,7 days 22:59:26.503494
10,PaintProSystem_ResetPosition {Autobot1},1.84,Passed,2025-06-10 16:12:53.123,2025-06-10 16:12:54.960,2025-06-10 16:13:40.811941,0 days 00:29:09.052242
10,PaintProSystem_ResetPosition {Autobot1},0.47,Passed,2025-06-10 16:21:05.073,2025-06-10 16:21:05.547,2025-06-10 16:21:41.042233,0 days 00:08:00.230292
10,PaintProSystem_ResetPosition {Autobot1},0.47,Passed,2025-06-10 16:21:05.073,2025-06-10 16:21:05.547,2025-06-10 17:03:56.384755,0 days 00:42:15.342522
10,PaintProSystem_ResetPosition {Autobot1},1.54,Passed,2025-06-10 21:06:23.947,2025-06-10 21:06:25.483,2025-06-10 21:07:09.465742,0 days 04:03:13.080987
10,PaintProSystem_ResetPosition {Autobot1},1.54,Passed,2025-06-10 21:06:23.947,2025-06-10 21:06:25.483,2025-06-10 21:49:12.895557,0 days 00:42:03.429815
10,PaintProSystem_ResetPosition {Autobot1},0.7,Passed,2025-06-10 22:06:49.280,2025-06-10 22:06:49.980,2025-06-10 22:07:43.707122,0 days 00:18:30.811565
10,PaintProSystem_ResetPosition {Autobot1},0.7,Passed,2025-06-10 22:06:49.280,2025-06-10 22:06:49.980,2025-06-11 00:12:47.867425,0 days 02:05:04.160303
10,PaintProSystem_ResetPosition {Autobot1},0.49,Passed,2025-06-11 09:06:28.577,2025-06-11 09:06:29.067,2025-06-11 09:07:13.912984,0 days 08:54:26.045559
10,PaintProSystem_ResetPosition {Autobot1},0.49,Passed,2025-06-11 09:06:28.577,2025-06-11 09:06:29.067,2025-06-11 09:48:48.088369,0 days 00:41:34.175385
10,PaintProSystem_ResetPosition {Autobot1},0.26,Passed,2025-06-11 18:33:38.023,2025-06-11 18:33:38.280,2025-06-11 18:34:24.742452,0 days 08:45:36.654083
10,PaintProSystem_ResetPosition {Autobot1},0.26,Passed,2025-06-11 18:33:38.023,2025-06-11 18:33:38.280,2025-06-11 19:16:08.433924,0 days 00:41:43.691472
10,PaintProSystem_ResetPosition {Autobot1},1.44,Passed,2025-06-13 10:19:37.150,2025-06-13 10:19:38.593,2025-06-13 10:20:19.732323,1 days 15:04:11.298399
10,PaintProSystem_ResetPosition {Autobot1},1.44,Passed,2025-06-13 10:19:37.150,2025-06-13 10:19:38.593,2025-06-13 11:16:36.938487,0 days 00:56:17.206164
10,PaintProSystem_ResetPosition {Autobot1},0.57,Passed,2025-06-14 18:48:16.383,2025-06-14 18:48:16.957,2025-06-14 18:49:03.005887,1 days 07:32:26.067400
